"","X","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"10148",10148,"ohio,fulton",6,"Fulton County",741,1958,"Ohio","ohio","fulton county",39051,11,"#6A15F5"
"10149",10149,"ohio,gallia",6,"Gallia County",41,1954,"Ohio","ohio","gallia county",39053,1,"#FF0000"
"10150",10150,"ohio,gallia",6,"Gallia County",74,1963,"Ohio","ohio","gallia county",39053,2,"#F20420"
"10151",10151,"ohio,gallia",6,"Gallia County",21,1947,"Ohio","ohio","gallia county",39053,1,"#FF0000"
"10152",10152,"ohio,gallia",6,"Gallia County",15,1929,"Ohio","ohio","gallia county",39053,1,"#FF0000"
"10153",10153,"ohio,gallia",6,"Gallia County",61,1958,"Ohio","ohio","gallia county",39053,1,"#FF0000"
"10154",10154,"ohio,geauga",6,"Geauga County",748,1963,"Ohio","ohio","geauga county",39055,11,"#6A15F5"
"10155",10155,"ohio,geauga",4,"Geauga County",474,1954,"Ohio","ohio","geauga county",39055,7,"#B319C0"
"10156",10156,"ohio,geauga",8,"Geauga County",32,1929,"Ohio","ohio","geauga county",39055,1,"#FF0000"
"10157",10157,"ohio,geauga",6,"Geauga County",360,1958,"Ohio","ohio","geauga county",39055,6,"#BF15A0"
"10158",10158,"ohio,geauga",4,"Geauga County",290,1947,"Ohio","ohio","geauga county",39055,5,"#CC1180"
"10159",10159,"ohio,greene",2,"Greene County",385,1954,"Ohio","ohio","greene county",39057,6,"#BF15A0"
"10160",10160,"ohio,greene",6,"Greene County",162,1929,"Ohio","ohio","greene county",39057,3,"#E50840"
"10161",10161,"ohio,greene",2,"Greene County",331,1963,"Ohio","ohio","greene county",39057,5,"#CC1180"
"10162",10162,"ohio,greene",2,"Greene County",146,1947,"Ohio","ohio","greene county",39057,3,"#E50840"
"10163",10163,"ohio,greene",2,"Greene County",267,1958,"Ohio","ohio","greene county",39057,4,"#D90C60"
"10164",10164,"ohio,guernsey",6,"Guernsey County",NA,1963,"Ohio","ohio","guernsey county",39059,NA,NA
"10165",10165,"ohio,guernsey",6,"Guernsey County",394,1954,"Ohio","ohio","guernsey county",39059,6,"#BF15A0"
"10166",10166,"ohio,guernsey",6,"Guernsey County",152,1929,"Ohio","ohio","guernsey county",39059,3,"#E50840"
"10167",10167,"ohio,guernsey",6,"Guernsey County",222,1947,"Ohio","ohio","guernsey county",39059,4,"#D90C60"
"10168",10168,"ohio,guernsey",6,"Guernsey County",799,1958,"Ohio","ohio","guernsey county",39059,12,"#5511F7"
"10169",10169,"ohio,hamilton",2,"Hamilton County",NA,1954,"Ohio","ohio","hamilton county",39061,NA,NA
"10170",10170,"ohio,hamilton",2,"Hamilton County",NA,1947,"Ohio","ohio","hamilton county",39061,NA,NA
"10171",10171,"ohio,hamilton",1,"Hamilton County",NA,1963,"Ohio","ohio","hamilton county",39061,NA,NA
"10172",10172,"ohio,hamilton",1,"Hamilton County",NA,1958,"Ohio","ohio","hamilton county",39061,NA,NA
"10173",10173,"ohio,hamilton",2,"Hamilton County",577,1929,"Ohio","ohio","hamilton county",39061,9,"#951DF1"
"10174",10174,"ohio,hancock",4,"Hancock County",485,1947,"Ohio","ohio","hancock county",39063,8,"#A61DE0"
"10175",10175,"ohio,hancock",4,"Hancock County",793,1958,"Ohio","ohio","hancock county",39063,12,"#5511F7"
"10176",10176,"ohio,hancock",6,"Hancock County",240,1929,"Ohio","ohio","hancock county",39063,4,"#D90C60"
"10177",10177,"ohio,hancock",4,"Hancock County",NA,1963,"Ohio","ohio","hancock county",39063,NA,NA
"10178",10178,"ohio,hancock",4,"Hancock County",727,1954,"Ohio","ohio","hancock county",39063,11,"#6A15F5"
"10179",10179,"ohio,hardin",6,"Hardin County",995,1963,"Ohio","ohio","hardin county",39065,15,"#1504FD"
"10180",10180,"ohio,hardin",6,"Hardin County",718,1958,"Ohio","ohio","hardin county",39065,11,"#6A15F5"
"10181",10181,"ohio,hardin",6,"Hardin County",405,1954,"Ohio","ohio","hardin county",39065,6,"#BF15A0"
"10182",10182,"ohio,hardin",6,"Hardin County",57,1929,"Ohio","ohio","hardin county",39065,1,"#FF0000"
"10183",10183,"ohio,hardin",6,"Hardin County",155,1947,"Ohio","ohio","hardin county",39065,3,"#E50840"
"10184",10184,"ohio,harrison",6,"Harrison County",11,1929,"Ohio","ohio","harrison county",39067,1,"#FF0000"
"10185",10185,"ohio,harrison",6,"Harrison County",182,1947,"Ohio","ohio","harrison county",39067,3,"#E50840"
"10186",10186,"ohio,harrison",6,"Harrison County",297,1958,"Ohio","ohio","harrison county",39067,5,"#CC1180"
"10187",10187,"ohio,harrison",6,"Harrison County",284,1954,"Ohio","ohio","harrison county",39067,5,"#CC1180"
"10188",10188,"ohio,harrison",6,"Harrison County",341,1963,"Ohio","ohio","harrison county",39067,6,"#BF15A0"
"10189",10189,"ohio,henry",6,"Henry County",NA,1958,"Ohio","ohio","henry county",39069,NA,NA
"10190",10190,"ohio,henry",6,"Henry County",364,1954,"Ohio","ohio","henry county",39069,6,"#BF15A0"
"10191",10191,"ohio,henry",6,"Henry County",NA,1963,"Ohio","ohio","henry county",39069,NA,NA
"10192",10192,"ohio,henry",6,"Henry County",44,1929,"Ohio","ohio","henry county",39069,1,"#FF0000"
"10193",10193,"ohio,henry",6,"Henry County",131,1947,"Ohio","ohio","henry county",39069,2,"#F20420"
"10194",10194,"ohio,highland",7,"Highland County",436,1963,"Ohio","ohio","highland county",39071,7,"#B319C0"
"10195",10195,"ohio,highland",7,"Highland County",68,1929,"Ohio","ohio","highland county",39071,1,"#FF0000"
"10196",10196,"ohio,highland",7,"Highland County",216,1947,"Ohio","ohio","highland county",39071,4,"#D90C60"
"10197",10197,"ohio,highland",7,"Highland County",326,1958,"Ohio","ohio","highland county",39071,5,"#CC1180"
"10198",10198,"ohio,highland",7,"Highland County",286,1954,"Ohio","ohio","highland county",39071,5,"#CC1180"
"10199",10199,"ohio,hocking",7,"Hocking County",678,1958,"Ohio","ohio","hocking county",39073,10,"#8019F3"
"10200",10200,"ohio,hocking",7,"Hocking County",425,1954,"Ohio","ohio","hocking county",39073,7,"#B319C0"
"10201",10201,"ohio,hocking",7,"Hocking County",936,1963,"Ohio","ohio","hocking county",39073,14,"#2A08FB"
"10202",10202,"ohio,hocking",7,"Hocking County",303,1947,"Ohio","ohio","hocking county",39073,5,"#CC1180"
"10203",10203,"ohio,hocking",7,"Hocking County",119,1929,"Ohio","ohio","hocking county",39073,2,"#F20420"
"10204",10204,"ohio,holmes",6,"Holmes County",327,1958,"Ohio","ohio","holmes county",39075,5,"#CC1180"
"10205",10205,"ohio,holmes",6,"Holmes County",298,1954,"Ohio","ohio","holmes county",39075,5,"#CC1180"
"10206",10206,"ohio,holmes",6,"Holmes County",331,1963,"Ohio","ohio","holmes county",39075,5,"#CC1180"
"10207",10207,"ohio,holmes",6,"Holmes County",91,1947,"Ohio","ohio","holmes county",39075,2,"#F20420"
"10208",10208,"ohio,holmes",8,"Holmes County",61,1929,"Ohio","ohio","holmes county",39075,1,"#FF0000"
"10209",10209,"ohio,huron",6,"Huron County",658,1958,"Ohio","ohio","huron county",39077,10,"#8019F3"
"10210",10210,"ohio,huron",6,"Huron County",658,1954,"Ohio","ohio","huron county",39077,10,"#8019F3"
"10211",10211,"ohio,huron",6,"Huron County",NA,1963,"Ohio","ohio","huron county",39077,NA,NA
"10212",10212,"ohio,huron",6,"Huron County",158,1929,"Ohio","ohio","huron county",39077,3,"#E50840"
"10213",10213,"ohio,huron",6,"Huron County",359,1947,"Ohio","ohio","huron county",39077,6,"#BF15A0"
"10214",10214,"ohio,jackson",6,"Jackson County",361,1954,"Ohio","ohio","jackson county",39079,6,"#BF15A0"
"10215",10215,"ohio,jackson",6,"Jackson County",714,1963,"Ohio","ohio","jackson county",39079,11,"#6A15F5"
"10216",10216,"ohio,jackson",6,"Jackson County",118,1929,"Ohio","ohio","jackson county",39079,2,"#F20420"
"10217",10217,"ohio,jackson",6,"Jackson County",324,1947,"Ohio","ohio","jackson county",39079,5,"#CC1180"
"10218",10218,"ohio,jackson",6,"Jackson County",453,1958,"Ohio","ohio","jackson county",39079,7,"#B319C0"
"10219",10219,"ohio,jefferson",3,"Jefferson County",NA,1958,"Ohio","ohio","jefferson county",39081,NA,NA
"10220",10220,"ohio,jefferson",2,"Jefferson County",355,1929,"Ohio","ohio","jefferson county",39081,6,"#BF15A0"
"10221",10221,"ohio,jefferson",2,"Jefferson County",NA,1954,"Ohio","ohio","jefferson county",39081,NA,NA
"10222",10222,"ohio,jefferson",3,"Jefferson County",NA,1963,"Ohio","ohio","jefferson county",39081,NA,NA
"10223",10223,"ohio,jefferson",2,"Jefferson County",556,1947,"Ohio","ohio","jefferson county",39081,9,"#951DF1"
"10224",10224,"ohio,knox",7,"Knox County",250,1929,"Ohio","ohio","knox county",39083,4,"#D90C60"
"10225",10225,"ohio,knox",7,"Knox County",818,1954,"Ohio","ohio","knox county",39083,13,"#3F0CF9"
"10226",10226,"ohio,knox",7,"Knox County",NA,1963,"Ohio","ohio","knox county",39083,NA,NA
"10227",10227,"ohio,knox",7,"Knox County",816,1958,"Ohio","ohio","knox county",39083,12,"#5511F7"
"10228",10228,"ohio,knox",7,"Knox County",653,1947,"Ohio","ohio","knox county",39083,10,"#8019F3"
"10229",10229,"ohio,lake",1,"Lake County",684,1958,"Ohio","ohio","lake county",39085,11,"#6A15F5"
"10230",10230,"ohio,lake",1,"Lake County",NA,1963,"Ohio","ohio","lake county",39085,NA,NA
"10231",10231,"ohio,lake",6,"Lake County",429,1929,"Ohio","ohio","lake county",39085,7,"#B319C0"
"10232",10232,"ohio,lake",1,"Lake County",NA,1954,"Ohio","ohio","lake county",39085,NA,NA
"10233",10233,"ohio,lake",1,"Lake County",761,1947,"Ohio","ohio","lake county",39085,12,"#5511F7"
"10234",10234,"ohio,lawrence",2,"Lawrence County",910,1958,"Ohio","ohio","lawrence county",39087,14,"#2A08FB"
"10235",10235,"ohio,lawrence",3,"Lawrence County",NA,1954,"Ohio","ohio","lawrence county",39087,NA,NA
"10236",10236,"ohio,lawrence",7,"Lawrence County",135,1929,"Ohio","ohio","lawrence county",39087,2,"#F20420"
"10237",10237,"ohio,lawrence",2,"Lawrence County",NA,1963,"Ohio","ohio","lawrence county",39087,NA,NA
"10238",10238,"ohio,lawrence",3,"Lawrence County",612,1947,"Ohio","ohio","lawrence county",39087,9,"#951DF1"
"10239",10239,"ohio,licking",4,"Licking County",NA,1958,"Ohio","ohio","licking county",39089,NA,NA
"10240",10240,"ohio,licking",4,"Licking County",234,1929,"Ohio","ohio","licking county",39089,4,"#D90C60"
"10241",10241,"ohio,licking",4,"Licking County",NA,1963,"Ohio","ohio","licking county",39089,NA,NA
"10242",10242,"ohio,licking",4,"Licking County",NA,1954,"Ohio","ohio","licking county",39089,NA,NA
"10243",10243,"ohio,licking",4,"Licking County",447,1947,"Ohio","ohio","licking county",39089,7,"#B319C0"
"10244",10244,"ohio,logan",7,"Logan County",494,1958,"Ohio","ohio","logan county",39091,8,"#A61DE0"
"10245",10245,"ohio,logan",7,"Logan County",484,1954,"Ohio","ohio","logan county",39091,8,"#A61DE0"
"10246",10246,"ohio,logan",7,"Logan County",680,1963,"Ohio","ohio","logan county",39091,10,"#8019F3"
"10247",10247,"ohio,logan",7,"Logan County",78,1929,"Ohio","ohio","logan county",39091,2,"#F20420"
